"area","date","municipality","use","stratum","consumption"
"U",2010-12-31,"POLICARPA","Residencial 2",2,57.818
"R",2010-12-31,"CUMBITARA","Residencial 1",1,78.674
"R",2010-12-31,"CUMBITARA","Oficial",0,83.622
"R",2010-12-31,"LEIVA","Comercial",0,97.935
"U",2010-12-31,"CUMBITARA","Residencial 3",3,110.342
"U",2010-12-31,"POLICARPA","Especial",0,116.816
"U",2010-12-31,"EL ROSARIO","Residencial 1",1,143.217
"R",2010-12-31,"CUMBITARA","Residencial 2",2,144.483
"R",2010-12-31,"MAGUI","Oficial",0,173.354
"R",2010-12-31,"POLICARPA","Residencial 3",3,235.993
"R",2010-12-31,"POLICARPA","Comercial",0,473.26
"R",2010-12-31,"CUMBITARA","Especial",0,536.684
"U",2010-12-31,"CUMBITARA","Comercial",0,590.798
"U",2010-12-31,"CUMBITARA","Residencial 1",1,599.475
"R",2010-12-31,"LEIVA","Especial",0,613.886
"R",2010-12-31,"LEIVA","Oficial",0,721.376
"R",2010-12-31,"POLICARPA","Oficial",0,742.197
"U",2010-12-31,"POLICARPA","Residencial 1",1,802.843
"U",2010-12-31,"LEIVA","Comercial",0,809.757
"U",2010-12-31,"POLICARPA","Comercial",0,887.332
"R",2010-12-31,"LEIVA","Residencial 2",2,943.523
"U",2010-12-31,"BARBACOAS","Industrial",0,953.345
"U",2010-12-31,"CUMBITARA","Oficial",0,953.489
"R",2010-12-31,"EL ROSARIO","Oficial",0,1012.349
"R",2010-12-31,"CUMBITARA","Residencial 2",2,1104.902
"R",2010-12-31,"BARBACOAS","Residencial 2",2,1176.137
"R",2010-12-31,"CUMBITARA","Comercial",0,1257.794
"U",2010-12-31,"LEIVA","Residencial 1",1,1263.605
"R",2010-12-31,"POLICARPA","Residencial 2",2,1358.136
"R",2010-12-31,"BARBACOAS","Especial",0,1373.956
"R",2010-12-31,"EL ROSARIO","Especial",0,1401.283
"R",2010-12-31,"POLICARPA","Residencial 2",2,1548.112
"R",2010-12-31,"BARBACOAS","Comercial",0,1684.467
"R",2010-12-31,"EL ROSARIO","Residencial 2",2,1721.416
"R",2010-12-31,"POLICARPA","Especial",0,1756.732
"U",2010-12-31,"POLICARPA","Oficial",0,2223.286
"R",2010-12-31,"EL ROSARIO","Residencial 1",1,2238.119
"U",2010-12-31,"EL ROSARIO","Comercial",0,2240.929
"U",2010-12-31,"EL ROSARIO","Oficial",0,2242.052
"R",2010-12-31,"LEIVA","Residencial 1",1,2254.899
"U",2010-12-31,"EL ROSARIO","Especial",0,2285.859
"U",2010-12-31,"LEIVA","Oficial",0,3182.275
"U",2010-12-31,"BARBACOAS","Residencial 3",3,4391.084
"R",2010-12-31,"ROBERTO PAYAN","Residencial 1",1,4464.485
"U",2010-12-31,"POLICARPA","Residencial 2",2,4486.219
"R",2010-12-31,"POLICARPA","Residencial 1",1,4874.43
"U",2010-12-31,"LEIVA","Residencial 2",2,5331.502
"R",2010-12-31,"BARBACOAS","Oficial",0,5937.68
"U",2010-12-31,"CUMBITARA","Residencial 1",1,7287.01
"U",2010-12-31,"CUMBITARA","Residencial 2",2,7358.995
"R",2010-12-31,"ROBERTO PAYAN","Residencial Sub",1,8866.474
"U",2010-12-31,"MAGUI","Residencial Sub",1,20850.054
"R",2010-12-31,"CUMBITARA","Residencial 1",1,22665.161
"R",2010-12-31,"MAGUI","Residencial Sub",1,23304.802
"U",2010-12-31,"EL ROSARIO","Residencial 2",2,23725.904
"U",2010-12-31,"BARBACOAS","Oficial",0,32405.736
"U",2010-12-31,"ROBERTO PAYAN","Residencial Sub",1,34699.091
"U",2010-12-31,"BARBACOAS","Comercial",0,35557.817
"U",2010-12-31,"EL ROSARIO","Residencial 1",1,41184.79
"U",2010-12-31,"POLICARPA","Residencial 1",1,55350.307
"R",2010-12-31,"LEIVA","Residencial 1",1,59726.682
"U",2010-12-31,"BARBACOAS","Residencial 2",2,67905.057
"R",2010-12-31,"EL ROSARIO","Residencial 1",1,101150.45
"U",2010-12-31,"LEIVA","Residencial 1",1,108771.55
"R",2010-12-31,"POLICARPA","Residencial 1",1,136927.03
"R",2010-12-31,"BARBACOAS","Residencial 1",1,181866.54
"U",2010-12-31,"BARBACOAS","Residencial 1",1,266883.49
"R",2011-01-31,"CUMBITARA","Residencial 1",1,94.147
"R",2011-01-31,"CUMBITARA","Oficial",0,110.938
"R",2011-01-31,"LEIVA","Comercial",0,111.658
"U",2011-01-31,"POLICARPA","Residencial 2",2,134.026
